# Akram-ut-Tarajum — Urdu OCR ground-truth corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -
060:005	اے ہمارے پروردگار!ً ہم کو کافروں کے ہاتھ سے مصیبت میں نہ ڈالیئے اور اے ہمارے پروردگار! ہمارے گناہ معاف فرمائیے۔ بے شک آپ زبردست حکمت والے ہیں۔
060:006	بے شک ان لوگوں (کے طرز عمل) میں تمہارے لیئےعمدہ نمونہ ہے ایسے شخص کے لیئے جو اللہ (کے سامنے جانے) اور قیامت کے دن کی اُمید رکھتا ہو۔ اور جو روگردانی کرے تو یقینا اللہ ہی بے نیاز، تعریف کے سزاوار ہیں۔
060:007	عجب نہیں کہ اللہ تم میں اور جن لوگوں سے تم دشمنی رکھتے ہو دوستی پیدا فرما دیں۔ اور اللہ قادر ہیں اور اللہ بخشنے والے مہربان ہیں۔
060:008	جن لوگوں نے تم سے دین کے بارے میں لڑائی نہیں کی اور نہ تم کو تمہارے گھروں سے نکالا ہے ان کے ساتھ بھلائی اور انصاف کا سلوک کرنے سے اللہ تمہیں منع نہیں فرماتے۔ بے شک اللہ تو انصاف کرنے والوں کو دوست رکھتے ہیں۔
060:009	بے شک اللہ ان لوگوں سے تم کو منع فرماتے ہیں جنہوں نے دین کے بارے تمہارے ساتھ جنگ کی اور تمہیں تمہارے گھروں سے نکالا اور تمہارے نکالنے میں (اوروں کی) مدد کی، کہ ان سے دوستی کرو۔ اور جو ان سے دوستی کریں گے تو وہی ظالم ہیں۔
060:010	اے ایمان والو! جب تمہارے پاس ایمان والی عورتیں ہجرت کرکے آئیں تو تم ان کا امتحان کرلیا کرو۔ اللہ ہی ان کے ایمان کو خوب جانتے ہیں۔ پس اگر تم ان کو ایمان والیاں سمجھو تو ان کو کفار کے پاس واپس نہ بھیجو۔ نہ وہ عورتیں ان (کافروں) کے لیئے حلال ہیں اور نہ وہ (کافر) ان عورتوں کے لیئے حلال ہیں۔ اور انہوں (کافروں) نے جو کچھ خرچ کیا ہو ان کو ادا کردو۔ او رتم پر کوئی گناہ نہیں کہ ان عورتوں کو ان کے مہر دے کر ان سے نکاح کر لو اور کافر عورتوں کی ناموس کو قبضے میں نہ رکھو (یعنی کفار کو واپس کر دو)۔ اور ان پر جو خرچ کیا ہو ان سے طلب کرلو اور جو کچھ انہوں نے خرچ کیا ہو وہ تم سے طلب کرلیں۔ یہ اللہ کا حکم ہے جو تم میں فیصلہ کیے دیتے ہیں اور اللہ جاننے والے حکمت والے ہیں۔
060:011	اور اگر تمہاری بیبیوں میں سے کوئی بی بی تمہارے ہاتھ سے نکل کر کافروں کے پاس چلی جائے تو ان (کافروں) سے جنگ کرو (اور ان سے تم کو غنیمت ملے) تو جن کی عورتیں چلی گئی ہیں ان لوگوں کو اتنا دے دو جتنا انہوں نے خرچ کیا تھا اور اللہ سے ڈرتے رہو جس پر تم ایمان لائے ہو۔
060:012	اے پیغمبرﷺ! جب مومن عورتیں آپ کے پاس اس بات پر بیعت کرنے کو آئیں کہ اللہ کے ساتھ کسی شے کو شریک نہ کریں گی اور نہ چوری کریں گی اور نہ بدکاری کریں گی اور نہ اپنے بچوں کو قتل کریں گی اور نہ اپنے ہاتھوں اور پاؤں میں کوئی بہتان باندھ لائیں گی (کہ بہتان کی اولاد لے آئیں) اور نیک کاموں میں آپ کی نافرمانی نہ کریں گی۔ تو اُن سے بیعت لے لیجئیےاور ان کے لیئے اللہ سے بخشش طلب فرمائیں۔ بے شک اللہ بخشنے والے مہربان ہیں۔
060:013	اے ایمان والو! ان لوگوں سے (بھی) دوستی مت کرو جن پر اللہ نے غضب فرمایا وہ آخرت سے ایسے نااُمید ہو گئے ہیں جیسے کفار قبر والوں (کے دوبارہ جی اٹھنے) سے نا اُمید ہیں۔
061:001	جو کچھ آسمانوں میں ہے اور جو کچھ زمین میں ہے، سب اللہ کی پاکی بیان کرتے ہیں۔ اور وہ غالب ہیں، حکمت والے۔
061:002	اے ایمان والو! تم ایسی بات کیوں کہتے ہو جو کرتے نہیں۔
061:003	اللہ کے نزدیک یہ بات بہت ناپسندیدہ ہے کہ تم ایسی بات کہو جو تم کرو نہیں۔
061:004	بے شک اللہ ایسے لوگوں کو پسند فرماتا ہے جو اس کی راہ میں سیسہ پلائی ہوئی دیوار کی طرح جم کر لڑتے ہیں۔
061:005	اور جب موسیٰ (علیہ السلام) نے اپنی قوم سے فرمایا اے میری قوم! تم مجھے کیوں دکھ پہنچاتے ہو حالانکہ تم جانتے ہو کہ میں تمہارے پاس اللہ کا پیغمبر ہوں۔ تو جب وہ لوگ ٹیڑھے ہی رہے تو اللہ نے ان کے دل ٹیڑھے کردئیے۔ اور اللہ نافرمانوں کو ہدایت نہیں دیتے۔
061:006	اور جب عیسیٰ (علیہ السلام) بن مریم (علیہا السلام) نے فرمایا، اے بنی اسرائیل! بے شک میں تمہارے پاس اللہ کا پیغمبر ہوں۔ مجھ سے پہلے جو تورات آچکی ہے میَں ا س کی تصدیق کرتا ہوں۔ اور ایک پیغمبر کی بشارت دیتا ہوں جو میرے بعد آئیں گے۔ ان کا نام احمد(ﷺ) ہوگا۔ پھر جب وہ ان کے پاس کھلی نشانیاں لے کر آئے تو وہ لوگ کہنے لگے یہ تو صاف صاف جادو ہے۔
061:007	اور اس شخص سے بڑا ظالم کون ہوگا جو اللہ پر جھوٹ باندھے حالانکہ وہ اسلام کی طرف بلایا جاتا ہو۔ اور اللہ ایسے ظالموں کو ہدایت نہیں دیتے۔
061:008	یہ لوگ چاہتے ہیں کہ اللہ کے نُور (اسلام) کو اپنے منہ سے (پھونک مار کر) بجھا دیں۔ حالانکہ اللہ اپنے نُور کو پورا فرماکر رہیں گے خواہ کافروں کو یہ بات کتنی ہی ناپسندہو۔
061:009	وہی تو ہے جس نے اپنے پیغمبر کو ہدایت اور سچا دین دے کر بھیجا تاکہ اُس کو تمام دینوں پر غالب کردے اور خواہ مشرک کتنے ہی ناخوش ہوں۔
061:010	اے ایمان والو! کیا میں تم کو ایسی تجارت بتاؤں جو تم کو دردناک عذاب سے بچا لے۔
061:011	اگر تم اللہ پر اور اس کے پیغمبر پر ایمان لاتے ہو اور اللہ کی راہ میں اپنے مالوں اور جانوں سے جہاد کرتے ہو (تو) تمہارے لیئے یہی بہتر ہے اگر تم سمجھتے ہو تو۔
061:012	وہ (اللہ) تمہارے گناہ معاف فرمادیں گے او رتم کو ایسے باغوں میں داخل کریں گے جن کے تابع نہریں بہتی ہیں اور عمدہ مکانوں میں جو ہمیشہ رہنے والی بہشت میں ہیں۔ یہ بہت بڑی کامیابی ہے۔
061:013	اور ایک او رچیز جو تمہیں بہت محبوب ہے (یعنی) اللہ کی طرف سے مدد، اور عنقریب فتح (نصیب ہوگی) اور ایمان والوں کو (اس کی) خوشخبری سنا دیں۔
061:014	اے ایمان والو! تم اللہ کے مدد گار بن جائو جیسے عیسٰی (علیہ السلام) بن مریم (علیہا السلام) نے حواریوں سے فرمایا تھا کہ اللہ کی طرف (بلانے میں) میرے کون مددگار ہوں گے! حواریوں نے کہا، ہم اللہ کے مددگار ہیں۔ تو بنی اسرائیل میں سے ایک گروہ تو ایمان لے آیا اور ایک گروہ کافر رہا۔ آخر ہم نے ایمان لانے والوں کو اُن کے دشمنوں کے مقابلے میں مدد دی تو وہ غالب ہوگئے۔
062:001	جو کچھ آسمانوں میں ہے اور جو کچھ زمین میں ہے سب اللہ کی پاکی بیان کرتے ہیں جو بادشاہ ہے، پاک ہے، زبردست، حکمت والا ہے۔
062:002	وہی تو ہے جس نے ان پڑھوں میں، ان ہی میں سے ایک پیغمبر بھیجے (حضرت محمدﷺ) جو ان کے سامنے اس کی آیتیں پڑھتے ہیں اور ان کو پاک کرتے ہیں اور ان کو کتاب اور دانشمندی کی باتیں سکھاتے ہیں۔ اور یہ لوگ (آپ کی بعثت سے) پہلے کھلی گمراہی میں تھے۔
062:003	اور ان میں سے اور (بعد میں آنے والے) لوگوں کی طرف بھی (ان کو بھیجا ہے) جو ابھی ان (مسلمانوں) سے نہیں ملے۔ اور وہ (اللہ) غالب، حکمت والے ہیں۔
062:004	یہ (ایمان نصیب ہونا) اللہ کا فضل ہے وہ جسے چاہتے ہیں عطا فرماتے ہیں اور اللہ بڑے فضل والے ہیں۔
062:005	جن لوگوں پر تورات کا بوجھ رکھا گیا پھر انہوں نے اس (کے بارِ تعمیل) کو نہ اٹھایا، ان کی مثال اس گدھے کی سی ہے جس پر بہت سی کتابیں لدی ہوں۔ (غرض) ان لوگوں کی بُری حالت ہے جنہوں نے اللہ کی آیات کو جھٹلایا اور اللہ ظالموں کو(توفیق) ہدایت نہیں دیا کرتے۔
062:006	فرما دیجئیے کہ اے یہود! اگر تم یہ گمان کرتے ہو کہ تم بلا شرکتِ غیرے اللہ کے دوست ہو تو اگر تم سچے ہو تو ذرا موت کی آرزو کرو۔
062:007	اور یہ کبھی اس کی آرزو نہ کریں گے بوجہ ان اعمال کے جو اپنے ہاتھوں آگے بھیج چکے ہیں۔ اور اللہ ظالموں کو خوب جانتے ہیں۔
062:008	آپ فرما دیجئے کہ بلا شبہ وہ موت جس سے تم بھاگتے ہو وہ یقیناً تم سے آملے گی۔ پھر تم پوشیدہ اور ظاہر جاننے والے کے پاس لے جائے جاؤ گے۔ پھر وہ تم کو تمہارے تمام اعمال کی خبر دیں گے۔
062:009	اے ایمان والو! جب جمعہ کے روز نماز کے لیئے اذان کہی جائے تو اللہ کے ذکر (خطبۂ نمازِ جمعہ) کی طرف (فوراً) چل پڑا کرو اور کاروبار بند کر دو اگر تم علم رکھتے ہو تو یہ تمہارے لیئے بہت بہتر ہے۔
062:010	پھر جب نماز پوری ہو چکے تو زمین میں چلو پھرو اور اللہ کا فضل تلاش کرو۔ (کاروبار کرو) اور اللہ کا ذکر کثرت سے کرتے رہو تاکہ تم کامیابی حاصل کرو۔
062:011	اور (بعض لوگوں کا یہ حال ہے کہ) جب سودا بکتا یا تماشا لگا ہوا دیکھتے ہیں تو اُدھر بھاگ جاتے ہیں اور آپ کو کھڑا ہوا چھوڑ جاتے ہیں۔ فرما دیجئیے کہ جو کچھ اللہ کے پاس ہے وہ (اس) تماشے اور تجارت سے بہت بہتر ہے۔ اور اللہ سب سے اچھے رزق دینے والے ہیں۔
063:001	جب منافقین آپ کے پاس آتے ہیں تو کہتے ہیں، ہم گواہی دیتے ہیں کہ بے شک آپ اللہ کے پیغمبر ہیں۔ اور اللہ جانتا ہے کہ بے شک آپ اس کے پیغمبر اور اللہ گواہی دیتا ہے کہ یقیناً (دل میں ایمان نہ ہونے کے سبب) یہ منافق جھوٹے ہیں۔
063:002	انہوں نے اپنی قسموں کو ڈھال بنا رکھا ہے تو یہ لوگ (دوسروں کو بھی) اللہ کی راہ سے روکتے ہیں۔ بے شک جو کچھ یہ کرتے ہیں بہت بُرا ہے۔
063:003	یہ اس لیئے ہے کہ یہ لوگ ایمان لائے پھر (کلماتِ کفر یہ کہہ کر) کافر ہوئے سو ان کے دلوں پر مہر کردی گئی سو یہ سمجھتے ہی نہیں۔
063:004	اور جب آپ اُن کو دیکھیں تو (ظاہری شان وشوکت کے باعث) ان کے قد کاٹھ آپ کے بھلے معلوم ہوں اور جب یہ باتیں کرتے ہیں تو آپ ان کی باتیں سنیں (فہم وادراک سے خالی) گویا کہ وہ لکڑیاں ہیں جو دیوار سے لگائی گئی ہیں۔ ہر چیخ وپکار کو اپنے اوپر (مصیبت) سمجھنے لگتے ہیں۔ یہی لوگ (آپ کے) دشمن ہیں سو آپ ان سے ہوشیار رہئیے۔ اللہ ان کو غارت کرے یہ کہاں پھرے جاتے ہیں۔
063:005	اور جب ان سے کہا جاتا ہے، کہ آؤ اللہ کے پیغمبر تمہارے لیئےبخشش طلب فرمائیں تو اپنے سر پھیر لیتے ہیں اور آپ ان کو دیکھیں کہ تکبر کرتے ہوئے منہ پھیر لیتے ہیں۔
063:006	آپ ان کے لیئے بخشش مانگیں یا نہ مانگیں ان کے حق میں برابر ہے۔ اللہ ان کو ہرگز نہیں بخشیں گے۔ بے شک اللہ نافرمانوں کو ہدایت نہیں فرماتے۔
063:007	یہ وہی لوگ ہیں جو کہتے ہیں کہ جو لوگ اللہ کے پیغمبر کے پاس (جمع) ہیں ان پر کچھ خرچ مت کرو یہاں تک کہ یہ لوگ (خود بخود) بکھر جائیں۔ اور آسمانوں اور زمین کے خزانے تو اللہ کے ہیں ولیکن منافق نہیں سمجھتے۔
063:008	کہتے ہیں کہ اگر ہم لوٹ کر مدینہ پہنچے تو عزت والے، ذلیل لوگوں کو وہاں سے نکال باہر کریں گے۔ حالانکہ عزت اللہ کے لیئے ہے اور اس کے پیغمبر کے لیئے ہے اور ایمان والوں کے لیئے ولیکن منافقین نہیں جانتے۔
063:009	اے ایمان والو! تم کو تمہارے مال اور تمہاری اولاد اللہ کی یاد سے غافل نہ کر دے۔ اور جو کوئی ایسا کرے گا تو ایسے لوگ نقصان اٹھانے والے ہیں۔
063:010	اور جو مال ہم نے تم کو دیا ہے اس میں سے (اس وقت) سے پہلے خرچ کر لو کہ تم میں سے کسی کو موت آجائے۔ تو (اس وقت) کہنے لگے کہ اے میرے پروردگار! آپ نے مجھے تھوڑی سی اور مہلت کیوں نہ دی تاکہ میَں خیرات کرتا اور نیک لوگوں میں داخل ہوجاتا۔
063:011	اور جب کسی کی موت آجاتی ہے تو اللہ اُسے ہرگز مہلت نہیں دیتے۔ اور اللہ تمہارے اعمال سے باخبر ہیں۔
064:001	جو کچھ آسمانوں میں ہے اور جو کچھ زمین میں ہے سب اللہ کی پاکی بیان کرتے ہیں۔ اُسی کی بادشاہی ہے اور سب تعریفیں اُسی کے لیے ہیں اور وہ ہر چیز پہ قادر ہے۔
064:002	وہی ہے جس نے تم کو پیدا فرمایا سو تم میں سے بعض کافر ہیں اور بعض ایمان والے۔ اور اللہ تمہارے اعمال کو دیکھ رہے ہیں۔
064:003	اُسی نے آسمانوں اور زمین کو ٹھیک طو رپر پیدا فرمایا اور اُسی نے تمہاری صورتیں بنائیں سو کیا خوب صورتیں بنائیں اور اُسی کی طرف (تمہیں) لوٹ کر جانا ہے۔
064:004	جو کچھ آسمانوں میں اور زمین میں ہے وہ( سب) جانتا ہے۔ اور جو کچھ چھپا کر کرتے ہو اور جو ظاہر کرتے ہو، اس کو بھی جانتا ہے اور اللہ دلوں کے رازوں کو جانتا ہے۔
064:005	کیا تم کو ان لوگوں کی خبر نہیں پہنچی جنہوں نے (تم سے) پہلے کفر کیا تو انہوں نے اپنے کاموں کی سزا کا مزہ (دنیا میں) چکھ لیا اور (آخرت میں) ان کے لیے درد ناک عذاب ہے۔
064:006	یہ اس وجہ سے کہ ان لوگوں کے پاس ان کے پیغمبر واضح دلائل لے کر آئے تھے تو ان لوگوں نے کہا کیا آدمی ہم کو ہدایت کرے گا۔ غرض انہوں نے کفر کیا اور منہ پھیر لیا اور اللہ نے (بھی ان کی) پرواہ نہ کی۔ اور اللہ (سب سے) بے نیاز (اور) تعریف کے لائق ہیں۔
064:007	جو لوگ کافر ہیں ان کا یہ خیال ہے کہ وہ ہرگز دوبارہ زندہ نہیں کیئے جائیں گے۔ آپ فرمادیجیئے کہ ہاں میرے پروردگار کی قسم تم دوبارہ ضرور زندہ کیئے جاؤ گے پھر جو کچھ تم نے کیا ہے تم کو ضرور بتایا جائے گا اور یہ سب اللہ کے لیئے آسان ہے۔
064:008	سو اللہ پر اور اس کے پیغمبر پر اور اس نور (قرآن) پر ایمان لاؤ جو ہم نے نازل فرمایا ہے۔ اور اللہ تمہارے سب کاموں کی خبر رکھتے ہیں۔
064:009	جس دن (اللہ) تم سب کو جمع ہونے کے دن (یعنی قیامت) کے لیئے اکٹھا کریں گے (سو) یہی دن ہے سُو دوزیاں کا۔ اور جو شخص اللہ پر ایمان رکھتا ہوگا اور نیک کام کرتا ہوگا وہ اس سے اس کے گناہ دُور کردیں گے اور اس کو ایسے باغوں میں داخل فرمائیں گے جن کے تابع نہریں جاری ہیں جن میں وہ ہمیشہ رہیں گے۔ یہ بڑی کامیابی ہے۔
064:010	اور جن لوگوں نے کفر کیا اور ہماری آیات کو جھٹلایا، وہ دوزخ کے رہنے والے ہیں اس میں ہمیشہ رہیں گے اور وہ بُرا ٹھکانہ ہے۔
064:011	جو مصیبت بھی آتی ہے اللہ کے حکم سے آتی ہے۔ اور جو شخص اللہ پر ایمان لاتا ہے وہ اس کے دل کو ہدایت دیتے ہیں۔ اور اللہ ہر چیز سے باخبر ہیں۔
064:012	اور اللہ کی اطاعت کرو اور(اس کے) پیغمبر کی اطاعت کرو۔ پھر اگر تم منہ پھیر لو گے تو ہمارے پیغمبر کے ذمہ تو واضح طور پر پہنچا دینا ہے۔
064:013	اللہ ہے، اس کے سوا کوئی معبود نہیں اور ایمان والوں کو چاہئیے کہ اللہ پر ہی بھروسہ کریں۔
064:014	اے ایمان والو! بے شک تمہاری بعض بیویاں اور تمہاری اولاد تمہارے (دین کے) دشمن ہیں، سو ان سے ہوشیار رہو اور اگر تم معاف کرو اور درگذر کرو اور بخش دو تو یقیناً اللہ بخشنے والے، رحم کرنے والے ہیں۔
064:015	بے شک تمہارے مال اور اولاد ایک آزمائش ہیں اور اللہ ہی کے پاس بہت بڑا صلہ ہے۔
064:016	سو جہاں تک تم سے ہوسکے اللہ سے ڈرتے رہو اور (اس کے احکام) سنو اور فرماں برداری کرو اور (اس کی راہ میں) خردچ کرو۔ یہ تمہارے اپنے لیئے بہتر ہوگا۔ اور جو شخص اپنے نفس کے لالچ سے محفوظ رہا تو ایسے ہی لوگ فلاح پانے والے ہیں۔
064:017	اگر تم اللہ کو خلوص کے ساتھ قرض دو تو وہ اس کو تمہارے لیئے بڑھاتے چلے جائیں گے اور تمہیں بخش دیں گے اور اللہ قدرشناس (اور) بردبار ہیں۔
064:018	پوشیدہ اور ظاہر کے جاننے والے، غالب (اور) حکمت والے۔
065:001	اے پیغمبر!(ﷺ) جب تم لوگ (اپنی) عورتوں کو طلاق دینے لگو تو ان کی عدت (طہر) کے شروع میں طلاق دو اور عدت کا شمار رکھو۔اور اللہ سے ڈرو جو تمہارے پروردگار ہیں۔ نہ تو ان کو (ایام عدت میں) ان کے گھروں سے نکالو اور نہ وہ (خود ہی) نکلیں ہاں اگر وہ کوئی صریح بے حیائی کاکام کریں (تو نکال دو)۔ اور یہ اللہ کی حدیں ہیں اور جو اللہ کی حدوں سے تجاوز کرے گا تو درحقیقت اس نے اپنے آپ پر ظلم کیا۔ (اے مخاطب!) تجھ کو کیا معلوم شاید اللہ اس کے بعد( رجعت کی) کوئی نئی بات پیدا فرمادیں۔
065:002	پھر جب وہ اپنی عدت گزرنے کے قریب پہنچ جائیں تو ان کو اچھی طرح سے(زوجیت میں) رہنے دو یا اچھی طرح سے علیحدہ کردو۔ اور اپنے میں سے دو معتبر شخصوں کو گواہ کرلو اور (گواہی کی ضرورت پڑے تو) اللہ کے لیئے درست گواہی دو۔ ان باتوں سے اس شخص کو نصیحت کی جاتی ہے جو اللہ پر اور آخرت کے دن پر ایمان رکھتا ہے اور جو کوئی اللہ سے ڈرتا ہے تو وہ اس کے لیئے نجات کی صورت پیدا کردیتے ہیں۔
065:003	اور اس کو ایسی جگہ سے رزق پہنچاتے ہیں جہاں سے اس کا گمان بھی نہیں ہوتا۔ اور جو شخص اللہ پر بھروسہ کرتا ہے تو وہ اس کے لیئےکافی ہیں۔ بے شک اللہ اپنے کام کو (جو وہ کرنا چاہیں) پورا کردیتے ہیں۔ یقیناً اللہ نے ہر چیز کا پورا اندازہ فرما رکھا ہے۔
065:004	اور تمہاری (مطلقہ) عورتیں جو حیض سے نااُمید ہوچکی ہوں اگر کو ان (کی عدت) کے بارے شبہ ہوتو ان کی عدت تین مہینے ہے۔ اور جن کو (ابھی) حیض نہیں آنے لگا (ان کی بھی) اور حمل والی عورتوں کی عدت بچہ جننے تک ہے۔ اور جو اللہ سے ڈرے گا وہ (اللہ) اس کے کام میں سہولت پیدا فرما دیں گے۔
065:005	یہ اللہ کا حکم ہے جو اس نے تمہارے پاس بھیجا ہے اور جو شخص اللہ سے ڈرے گا تو وہ اس سے اس کے گناہ دور فرما دیں گے اور اُسے بہت بڑا صلہ عطا فرمائیں گے۔
065:006	(مطلقہ) عورتوں کو وہیں رکھو (ایام عدت میں) جہاں تم خود رہتے ہو، جیسی (جگہ) تمہیں میسر ہو اور ان کو تنگ کرنے کے لیئے تکلیف نہ دو اور اگر حمل سے ہوں تو بچہ جننے تک ان کو خرچ دیتے رہو۔ پھر اگر وہ بچے کو تمہاری خاطر دودھ پلائیں تو ان کو ان کی اجرت دو اور (بچے کے معاملے میں) پسندیدہ طریقے سے موافقت کرو اور اگر تم باہم ِضِد کرو گے تو اُس (بچے) کو کوئی دوسری عورت دودھ پلائے گی۔
065:007	دولت مند کو اپنی حیثیت کے مطابق خرچ کرنا چاہیے۔ اور جس کے رزق میں تنگی ہوتو جتنا اس کو اللہ نے دیا ہے اس کے مطابق خرچ کرے۔ اللہ کسی کو تکلیف نہیں دیتا مگر اُس کے مطابق جو اُس نے اُن کو دیا ہے۔ اللہ عنقریب تنگی کے بعد فراخی بھی بخشے گا۔
065:008	اور بہت سی بستیاں تھیں جنہوں نے اپنے پروردگار اور اس کے پیغمبروں کا حکم ماننے سے انکار کیا تو ہم نے ان سے بڑا سخت حساب لیا اور ہم نے ان کو بڑی سخت سزا دی۔
065:009	غرض انہوں نے اپنے اعمال کا وبال چکھا اور ان کا انجام نقصان ہی ہوا۔
065:010	اللہ نے ان کے لیئے ایک سخت عذاب تیار کررکھا ہے۔ تو اے سمجھ رکھنے والو! جو کہ ایمان لائے ہو، اللہ سے ڈرو۔ بے شک اللہ نے تمہارے پاس نصیحت (کی کتاب) بھیجی ہے۔
065:011	(اور اپنے) ایک ایسے پیغمبر (محمدﷺ بھیجے ہیں) جو تمہارے سامنے اللہ کی واضح آیات پڑھتے ہیں تاکہ جو لوگ ایمان لائے اور نیک کام کرتے رہے ان کو اندھیرے سے نکال کر روشنی میں لے آئیں۔ اور جو شخص اللہ پر ایمان لائے گا او رنیک کام کرے گا وہ اس کو باغوں میں داخل فرمائیں گے جن کے تابع نہریں بہہ رہی ہیں وہ ان میں ہمیشہ ہمیشہ رہیں کے۔ بلاشبہ اللہ نے ان کو خوب رزق عطا فرمایا ہے۔
065:012	اللہ ہی تو ہے جس نے سات آسمان پیدا فرمائے اور ویسی ہی زمین اور ان سب میں (اللہ کے) احکام نازل ہوتے رہتے ہیں تاکہ تم کو معلوم ہو جائے کہ اللہ ہر چیز پہ قادر ہیں۔ اور یہ کہ اللہ نے ہر چیز کو اپنے علم سے احاطہ میں لے رکھا ہے۔
066:001	اے پیغمبر! جو چیز اللہ نے آپ پر حلال فرمائی ہے اس کو اپنے لیئےکیوں حرام فرماتے ہیں (کیا) اپنی بیویوں کی رضامندی کے لیئے۔ اور اللہ بخشنے والے مہربان ہیں۔
066:002	اللہ نے تم لوگوں پر تمہاری قسموں کا کفارہ مقرّر فرمادیا ہے اور اللہ (ہی) تمہارے کارساز ہیں اور وہ باخبر (اور) حکمت والے ہیں۔
066:003	اور جب پیغمبر نے اپنی ایک بی بی سے ایک بات چپکے سے کہی (تو انہوں نے دوسری کو بتادی)۔ پھر جب انہوں نے اس کو افشاء کر دیا تو اللہ نے اس سے ان (پیغمبر) کو آگاہ فرمادیا۔ انہوں (پیغمبر) نے (اس بی بی کو) کچھ بات تو بتائی اور کچھ نہ بتائی پھر جب انہوں نے ان کو جتائی تو کہنے لگیں آپ کو یہ کس نے بتایا؟ فرمایا مجھے اُس نے بتایا ہے جو جاننے والا خبر رکھنے والا ہے۔
066:004	اگر تم دونوں اللہ سے توبہ کرو (تو بہتر ہے) کہ تمہارے دل مائل ہوئے ہیں۔ اور اگر (اسی طرح) تم دونوں ان (پیغمبر) کے مقابلہ میں کاروائیاں کرتی رہیں تو (یاد رکھو!) بے شک ان (پیغمبر) کے کار ساز اللہ ہیں اور جبرائیلؑ اور ایمان والے نیک بندے اور فرشتے اس کے بعد (آپ کے) معاون ہیں۔
066:005	اگر وہ (پیغمبر) تم کو طلاق دے دیں تو عجب نہیں کہ ان کا پروردگار تمہارے بدلے ان کو تم سے بہتر بیبیاں عطا کرے، فرماں بردار، صاحبِ ایمان، اطاعت کرنے والیاں، توبہ کرنے والیاں، عبادت کرنے والیاں، روزہ رکھنے والیاں، بن شوہر اور کنواریاں۔
066:006	اے ایمان والو! خود کو اور اپنے گھر والوں کو آگ (دوزخ) سے بچاؤ جس کا ایندھن آدمی اور پتھر ہیں۔ جس پر تُند خُو، مضبوط فرشتے مقرر ہیں۔ جو اللہ کی کسی بات میں نافرمانی نہیں کرتے جو وہ ان کو حکم دیتا ہے اس کو بجالاتے ہیں۔
066:007	اے کافرو! آج کے دن عذر مت کرو۔ یقیناً تم کو اسی کا بدلہ مل رہا ہے جو تم (دنیا میں) کرتے تھے۔
066:008	اے ایمان والو! اللہ کے سامنے سچے دل سے توبہ کرو۔ اُمید ہے کہ تمہارے پروردگار تم سے تمہارے گناہ معاف فرما دیں گے اور تم کو ایسے باغوں میں داخل فرمائیں گے جن کے تابع نہریں جاری ہیں۔ اس دن اللہ پیغمبر کو اور جو ان کے ساتھ ایمان لائے ہیں ان کو رسوا نہیں کریں گے۔ (بلکہ) ان کا نور ان کے آگے اور ان کی داہنی طرف چل رہا ہوگا۔ عرض کریں گے کہ اے ہمارے پروردگار! ہمارا نور ہمارے لیئے پورا فرمائیے او رہمیں معاف فرمائیے بے شک آپ ہر چیز پہ قادر ہیں۔
066:009	اے پیغمبر! کافروں اور منافقوں سے لڑیں اور ان پر سختی کریں۔ اور ان کا ٹھکانہ دوزخ ہے اور وہ بہت بری جگہ ہے۔
066:010	اللہ نے کافروں کے لیئے نوح (علیہ السلام) کی بیوی اور لُوْط (علیہ السلام) کی بیوی کی مثال بیان فرمائی ہے۔ دونوں ہمارے دو نیک بندوں کے گھر میں تھیں تو دونوں نے ان سے خیانت کی تو وہ اللہ کے مقابلے میں ان کے کچھ کام نہ آئے اور ان کو حکم دیا گیا کہ داخل ہونے والوں کے ساتھ تم بھی دوزخ میں داخل ہوجاؤ۔
066:011	اور جو لوگ ایمان لائے ہیں ان کے لیئے اللہ نے فرعون کی بیوی کی مثال ارشاد فرمائی ہے۔ جب انہوں نے عرض کیا اے میرے پروردگار! میرے لیے جنت میں اپنے قرب میں گھر بنائیے او رمجھے فرعون اور اس کے (بُرے) کاموں سے نجات بخشیں اور ظالم لوگوں کے ہاتھ سے مجھے نجات عطا فرمائیں۔
066:012	اور (دوسری مثال) عمران کی بیٹی مریم ؑ کی جنہوں نے اپنی آبرو کو محفوظ رکھا تو ہم نے اس میں اپنی روح پھونک دی۔ اور وہ اپنے پروردگار کے کلام اور اس کی کتابوں کو سچ مانتی تھیں اور فرماں برداروں میں سے تھیں۔
067:001	بڑی برکت والا ہے وہ (اللہ) جس کے ہاتھ میں بادشاہی ہے اور وہ ہر چیز پہ قادر ہے۔
067:002	جس نے موت اور زندگی کو پیدا فرمایا تاکہ تمہیں آزمائے کہ تم میں کون عمل میں زیادہ اچھا ہے اور وہ زبردست (اور) بخشنے والا ہے۔
067:003	جس نے سات آسمان اوپر تلے پیدا فرمائے۔ تو رحمٰن (اللہ) کی اس صنعت میں کوئی خلل نہ دیکھے گا۔ تو تُو پھر سے نگاہ ڈال (کر دیکھ لے) کیا تجھ کو کوئی خلل نظر آتا ہے؟۔
067:004	پھر بار بار نگاہ ڈال (کر دیکھ) تو نظر تیرے پاس ناکام اور تھک کر پلٹ آئے گی۔
