# Akram-ut-Tarajum — complete official Quran translation corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu<TAB>English
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -	Beginning with the Name of Allah, Who is Very Kind, Extremely Merciful.
041:012	سو دو روز میں اس کے ساتھ آسمان بنا دئیے اور ہر آسمان میں اس کے کام کا حکم ارسال فرما دیا اور ہم نے قریب والے آسمان کو چراغوں سے سجا دیا اور محفوظ فرمایا۔ یہ غالب علم والے کے مقررہ اندازے ہیں۔	So He formed of it seven heavens in two days, and revealed in each heaven the Command for its function. And We adorned the near heaven with lamps and protected it. These are the decreed measures of the Dominant, the Knowing.
041:013	پھر اگر یہ منہ پھیر لیں تو فرما دیجیے میں نے تم کو ایسی چنگھاڑ (عذاب) سے ڈرایا جیسے عاد اور ثمود پر چنگھاڑ (عذاب) تھی۔	Then if they turn their face away, say, ‘I have warned you of the shout (the torment), like the shout (the torment) that befell the ‘Aad and the Samood.
041:014	جب ان کے پاس ان کے آگے اور ان کے پیچھے پیغمبرآئے کہ اللہ کے سوا کسی کی عبادت نہ کرو (تو) کہنے لگے کہ اگر ہمارے پروردگار چاہتے تو ضرور فرشتے اتار دیتے۔ سو جو آپ دے کر بھیجے گئے ہو ہم اس کو نہیں مانتے۔	When there came to them Messengers from before them and behind them, (saying) ‘Do not worship anyone other than Allah.’ (But) they said, ‘Had our Rabb willed, He would have certainly sent down angels. Therefore, we do not believe in what you have been sent with.’
041:015	پھر جو عاد تھے سو وہ زمین (دنیا) میں ناحق تکبر کرنے لگے اور کہنے لگے ہم سے بڑھ کر کون طاقت والا ہے؟ کیا انہیں یہ نظر نہیں آیا کہ اللہ جس نے ان کو پیدا فرمایا وہ ان سے قوت میں بہت زیادہ ہے۔ اور وہ ہماری آیتوں کا (ضِد سے) انکار کرتے رہے۔	Then as for the ‘Aad, they started being arrogant without right in the land (in the world) and said, ‘Who is mightier than us?’ Did they not see that Allah, Who had created them, was mightier than them? And they kept denying Our Ayaat (out of stubbornness).
041:016	سو ہم نے ان پر نحوست کے دنوں میں بہت زور کی ہوا چلائی تاکہ ہم ان کو دنیا کی زندگی میں ذلت کے عذاب کا مزہ چکھا دیں۔ اور آخرت کا عذاب تو بہت ہی ذلیل کرنے والا ہے اور ان کی مدد بھی نہ کی جائے گی۔	So We sent the raging wind upon them during the inauspicious days, so that We may make them savour the taste of humiliating torment in the life of the world. And torment of the Hereafter is far more humiliating, and they will not even be helped.
041:017	اور جو ثمود تھے تو ان کو ہم نے سیدھا راستہ بتایا سو انہوں نے ہدایت کے مقابلے میں اندھا رہنے (گمراہی) کو پسند کیا تو ان کی بد کردار یوں کی سزا میں ان کو کڑک کے ذلت والے عذاب نے آ پکڑٖا۔	And as for the Samood, We showed them the straight path, but they preferred blindness (misguidance) to guidance, so the humiliating torment of thunder seized them as punishment for their immoral deeds.
041:018	اور جو ایمان لائے اور پرہیزگاری کرتے رہے ہم نے ان کو بچالیا۔	And We saved those who had believed and had remained Allah-conscious.
041:019	اور جس دن اللہ کے دشمن دوزخ کی طرف لائے جائیں گے تو قسم قسم کر لیے جائیں گے۔	And on the Day the enemies of Allah will be brought towards Hell, they will be divided into groups.
041:020	یہاں تک کہ جب وہ سب اس کے قریب آجائیں گے تو ان کے کان اور ان کی آنکھیں اور ان کی کھالیں ان کے اعمال پر گواہی دیں گے۔	Until when all of them come near it, their ears and their eyes and their skins will testify against them concerning their deeds.
041:021	اور (اس وقت) وہ لوگ اپنے چمڑے (اعضاء) سے کہیں گے تم نے ہمارے خلاف گواہی کیوں دی؟ وہ کہیں گے کہ ہم کو اس اللہ نے بولنے کی طاقت دی جس نے ہر چیز کو بولنے کی طاقت بخشی اور اُسی نے تم کو پہلی بار پیدا فرمایا تھا اور اُسی کے پاس پھر لائے گئے ہو۔	And (at that time) they will say to their skins (their organs) why did you testify against us?’ They will say, ‘We have been granted the ability to speak by Allah, Who has granted the power of speech to everything, and it is He, Who had created you the first time, and to Him you have been brought back.
041:022	اور تم اس (بات کے) خوف سے تو پردہ نہیں کرتے تھے کہ کہیں تمہارے کان اور تمہاری آنکھیں اور تمہاری کھالیں تمہارے خلاف گواہی نہ دیں، بلکہ تم یہ سمجھتے رہے کہ اللہ کو تمہارے بہت سے اعمال کی خبر ہی نہیں۔	And you had not been hiding yourselves from the fear (of the fact) that your ears and your eyes and your skins will testify against you, rather you kept thinking that Allah is not even aware of most of your deeds.
041:023	اور اسی خیال نے جو تم اپنے پروردگار کے بارے میں رکھتے تھے تم کو برباد کیا پس تم خسارہ پانے والوں میں ہوگئے۔	And this assumption of yours about your Rabb destroyed you, thus you became of the losers.’
041:024	پھر اگر یہ لوگ صبر کریں تب بھی دوزخ ہی ان کا ٹھکانہ ہے، اور اگر یہ عذر کریں تو بھی ان کا عذر قبول نہ کیا جائے گا۔	Then, if these people remain patient, Hell is still their abode; and if they make excuses, even then their excuse will not be accepted.
041:025	اور ہم نے (دنیا میں) کچھ شیطانوں کو ان کے ساتھ مقرر کر رکھا تھا سو انہوں نے ان کی نظر میں ان کے اگلے اور ان کے پچھلے اعمال خوبصورت کر دئیے اور ان لوگوں کے ساتھ بھی ان کے حق میں (اللہ کا) وعدہ پورا ہوکر رہا جو ان سے پہلے جن وانسان(کفار) ہوگزرے ہیں (جیسا کہ ان کے ساتھ ہوا) بے شک وہ سب خسارہ میں رہے۔	And We had assigned to them (in the world) some Shayateen, so they (the Shayateen) beautified in their eyes their earlier and later deeds. And (Allah’s) Promise was fulfilled against these people too (as was fulfilled) against the Jinn and men (unbelievers), who had passed before them. Without doubt, all of them were the losers.
041:026	اور کافر کہنے لگے اس قرآن کو سنا ہی نہ کرو اور (جب سنانے لگیں تو) اس میں شور مچا دیا کرو تاکہ تم غالب رہو۔	And the unbelievers said, ‘Do not even listen to this Quran, and start making a noise(when they begin to recite it), so that you remain dominant.’
041:027	سو ہم ان کافروں کو سخت عذاب (کا مزہ) چکھائیں گے اور ان کو ان کے بُرے کاموں کی سزا دیں گے۔	So We shall make these unbelievers savour (the taste of) a severe torment, and punish them for their evil deeds.
041:028	یہی سزا ہے اللہ کے دشمنوں کی (یعنی) دوزخ۔ ان کے لیے وہاں ہمیشہ رہنے کا مقام ہوگا۔ اس چیز کا بدلہ کہ ہماری آیات سے (ضد کرکے) انکار کرتے تھے۔	This is the punishment for the enemies of Allah- the Hell. Therein will be an eternal abode for them - a recompense for their denial of Our Ayaat (out of stubbornness).
041:029	اور کفار کہیں گے کہ اے ہمارے پروردگار! ہم کو وہ دونوں، شیطان اور انسانوں میں سے دکھا دیجئیے جنہوں نے ہم کو گمراہ کیا تھا (تاکہ) ہم ان دونوں کو اپنے پاؤں تلے (روند) ڈالیں تاکہ وہ بہت ذلیل ہوں۔	And the unbelievers will say, ‘O our Rabb! Show us those of the Shayateen and men both, who had led us astray, (so that) we may put (crush) them both under our feet, so that they may be greatly humiliated.’
041:030	بے شک جن لوگوں نے کہا کہ ہمارا پروردگار اللہ ہے پھر وہ (اس پر) قائم رہے ان پر فرشتے اتریں گے کہ تم کوئی خوف نہ کرو اور نہ کوئی رنج کرو اور جنت پر خوش ہو جاؤ جس کا تم سے وعدہ کیا جاتا تھا۔	Without doubt, the people who said, ‘Our Rabb is Allah,’ then they remained steadfast (on this), the angels will descend on them (saying), ‘Have no fear nor grieve, and rejoice over Paradise which used to be promised to you.
041:031	ہم دنیا کی زندگی میں بھی تمہارے دوست تھے اور آخرت میں بھی (ہیں) اور اس (جنت) میں جو تمہارا جی چاہے تمہارے لیے موجود ہے نیز اس میں تم جو مانگوگے وہ تمہیں ملے گا۔	We were your friends in the life of the world and (are) also in the Hereafter. And present for you in this (Paradise)is whatever your hearts desire, and therein you will get whatever you ask for.
041:032	(یہ) بخشنے والے مہربان کی طرف سے مہمانی ہوگی۔	(This will be) a hospitality from the Forgiving, Merciful.’
041:033	اور اس سے بہتر کس کی بات ہوسکتی ہے جو (لوگوں کو) اللہ کی طرف بلائے اور نیک عمل کرے اور کہے کہ یقیناً مَیں فرماں برداروں میں سے ہوں۔	And whose speech could be better than of the one who invites (people) towards Allah, and performs righteous deeds and says, ‘Indeed, I am of the obedient.’
041:034	اور نیکی اور بدی برابر نہیں ہوسکتی۔ آپ نیک برتاؤ سے (بدی کو) ٹال دیجئیے پھر (ایسا کرنے سے) آپ دیکھیں گے کہ جس شخص میں اور آپ میں دشمنی تھی وہ ایسا ہوجائے گا جیسا کوئی دلی دوست ہوتا ہے۔	And good and evil cannot be equal. Repel (evil) with good, then (by doing so) you will observe that the person between whom and you had been enmity, will become like a bosom friend.
041:035	اور یہ بات ان ہی لوگوں کو نصیب ہوتی ہے جو برداشت کرنے والے ہیں اور ان ہی کو ملتی ہے جو بڑے نصیب والے ہیں۔	And this attribute is granted only to the people who are patient, and is granted only to the owners of tremendous good fortune.
041:036	اور اگر آپ کو شیطان کی طرف سے کوئی وسوسہ آنے لگے تو اللہ کی پناہ مانگ لیا کریں بے شک وہ خوب سننے والے، خوب جاننے والے ہیں۔	And if a whisper from Shaitan starts coming to you, seek refuge in Allah. Without doubt, He is All Hearing, All Knowing.
041:037	اور اس کی (قدرت کی) نشانیوں میں سے رات اور دن اور سورج اور چاند ہے۔ تم لوگ نہ تو سورج کو سجدہ کرو اور نہ چاند کو اور اللہ ہی کو سجدہ کرو جس نے ان چیزوں کو پیدا فرمایا ہے، اگر تم صرف اس کی عبادت کرنا ہے تو۔	And among the signs of His (Omnipotence) are the night and the day and the sun and the moon. Do not prostrate yourselves either to the sun or to the moon, but prostrate yourselves to Allah only, Who has created these things, if you worship Him, that is.
041:038	پھر اگر یہ لوگ تکبر کریں تو (فرشتے) جو آپ کے پروردگار کے پاس ہیں وہ رات اور دن اس کی پاکی بیان کرتے رہتے ہیں اور وہ (کبھی) نہیں تھکتے۔	But if these people become arrogant, then (the angels) who are with your Rabb, celebrate His Glory night and day, and they never (ever) tire.
041:039	اور اسی کی قدرت کے نمونے ہیں کہ تُو زمین کو دبی ہوئی (خشک) دیکھتا ہے پھر جب ہم اس پر پانی برسا دیتے ہیں تو وہ شاداب ہوجاتی ہے اور پھولنے لگتی ہے۔ بے شک جس نے اس کو زندہ فرمایا تو وہی مردوں کو زندہ کرنے والا ہے۔ بے شک وہ ہر چیز پر قادر ہے۔	And the signs of His Omnipotence is that you see the land compact (dry), then when We rain water over it, it becomes saturated and starts to swell. Without doubt, He,Who gives it life, is the Giver of life to the dead. Without doubt, He has Power over everything.
041:040	بلاشبہ جو لوگ ہماری نشانیوں میں ٹیڑھا پن اختیار کرتے ہیں وہ ہم سے چھپے ہوئے نہیں۔ بھلا جو شخص دوزخ میں ڈالا جائے وہ بہت ہے یا وہ جو قیامت کے دن امن وامان سے آئے (تو) جو چاہو کر لو بے شک جو کچھ تم کرتے ہو وہ اس کو دیکھ رہا ہے۔	Without doubt, the people who adopt crookedness with respect to Our Signs are not hidden from Us. So then, is the person who is thrown into Hell better or the one who comes in peace and security on the Day of Qiyamah? (So) do what you will. Without doubt, He is watching whatever you do.
041:041	بے شک جن لوگوں نے ذکر (قرآن) کو نہ مانا جب وہ ان کے پاس آیا اور یقیناً یہ تو ایک بہت بلند رتبے والی کتاب ہے۔	Without doubt, the people who disbelieved in the Zikr (the Quran) when it came to them -and indeed this is an extremely Exalted Book.
041:042	اس میں غلط بات داخل نہیں ہوسکتی نہ اس کے آگے سے اور نہ اس کے پیچھے سے۔ یہ اللہ دانا (اور) خوبیوں والے کی طرف سے نازل فرمایا گیا ہے۔	No false word can enter it, either from before it or from behind it. It has been revealed from Allah,the Wise, (and) the Owner of Praiseworthy Attributes.
041:043	آپ کو وہی باتیں کہی جاتی ہیں جو آپ سے پہلے پیغمبروں کو کہی گئی ہیں۔ بے شک آپ کا پروردگار بڑی بخشش والا اور دردناک سزا دینے والا ہے۔	The same things are said to you that have been said to the Messengers before you. Without doubt, your Rabb is the Owner of Extreme Forgiveness and the Giver of Severe punishment.
041:044	اور اگر ہم اس (قرآن) کو غیر عرب زبان میں نازل فرماتے تو کہتے اس کی آیتیں (ہماری زبان میں) کھول کر کیوں بیان نہیں کی گئیں۔ یہ کیا کہ (قرآن تو) غیر عربی ہے اور (مخاطب) عربی۔ فر مادیجئیے جو ایمان لائے ہیں ان کے لیئے یہ ہدایت اور شفا ہے اور جو ایمان نہیں لاتے ان کے کانوں میں گرانی (بہرہ پن) ہے۔ اور وہ (قرآن) ان کے حق میں اندھا پن ہے اور یہ لوگ (فائدہ حاصل نہ کرنے کے سبب ایسے ہیں جیسے) بڑی دور کی جگہ سے پکارے جارہے ہیں۔	And had We revealed it (the Quran) in a non-Arabic language, they would have said, ‘Why have its Ayaat not been elaborated (in our language)? What is this, (that the Quran is in) a non-Arabic language and (the addressee is) an Arab!’ Say, ‘It is an advice and a healing for those who have believed. And there is heaviness (deafness) in the ears of those who do not believe, and for them it (the Quran) is blindness.And these people (for not benefiting from it are as if they) are being called from a very far off place.
041:045	اور یقیناً ہم نے موسیٰ (علیہ السلام) کو بھی کتاب دی تھی پھر اس میں بھی اختلاف ہوا اور اگر آپ کے پروردگار کی طرف سے پہلے بات مقرر نہ ہوچکی ہوتی تو ان کا فیصلہ (دنیا میں ہی) ہوچکا ہوتا اور بلاشبہ وہ اس کی طرف سے ایسے شک میں ہیں جس نے ان کو تردد میں ڈال رکھا ہے۔	And indeed We also gave Musa (Alaihi as-Salam)the Book, then there was disagreement even in that. And had a Word from your Rabb not been decreed earlier, then the Judgement about them would have been passed (in the world). And undeniably, they are in such a doubt about it which has kept them confounded.
041:046	جو شخص نیک عمل کرتا ہے تو وہ اپنے لیے کرتا ہے اور جو شخص بد عمل کرتا ہے سو اس کا وبال اُسی پر پڑھ گا اور آپ کا پروردگار بندوں پر زیادتی کرنے والا نہیں۔	Whosoever performs righteous deeds, he does so for his own self, and whosoever performs evil, its burden will fall on him only. And your Rabb is not the One to wrong His slaves.
041:047	قیامت کے علم کا حوالہ اُسی (اللہ) کی طر ف دیا جاتا ہے اور نہ تو پھل اپنے گابھوں سے نکلتے ہیں اور نہ کوئی مادہ حاملہ ہوتی ہے اور نہ جنتی ہے مگر اُسی کے علم سے۔ اور جس دن وہ (اللہ) ان کو پکاریں گے (اور فرمائیں گے) میرے شریک کہاں ہیں؟ وہ کہیں گے ہم آپ سے ہی عرض کرتے ہیں کہ ہم میں سے کسی کو (ان کی ) خبر ہی نہیں۔	To Him (Allah) alone is referred the knowledge of Qiyamah. And neither do fruits emerge from their sheaths, and nor does a female conceive and nor gives birth but by His Knowledge. And the Day He (Allah) will call them (and command), ‘Where are My partners?’ They will say, ‘We submit to You that none of us has any information (about them).
041:048	او رجن کو وہ پہلے (دنیا میں) پوجا کرتے تھے وہ سب ان سے غائب ہوجائیں گے اور وہ جان لیں گے کہ ان کے لیے بچاؤ کی کوئی صورت نہیں۔	And all those whom they used to worship previously (in the world) will vanish from them, and they will come to realize that there is no way of escape for them.
041:049	انسان بھلائی کی دعائیں کرتا تو تھکتا نہیں اور اگر اس کو تکلیف پہنچ جاتی ہے تو نا امید (اور) ہراساں ہو جاتا ہے۔	Man does not tire praying for goodness, and if distress touches him, he becomes despairing (and) desperate.
041:050	اور اگر تکلیف پہنچنے کے بعد ہم اس کو اپنی رحمت (کا مزہ) چکھاتے ہیں تو وہ ضرور کہتا ہے یہ تو میرے لیے ہونا ہی چاہیے تھا اور میں نہیں خیال کرتا کہ قیامت برپا ہوگی اور اگر (ایسا ہوکہ) میں اپنے پروردگار کی طرف لوٹا یا بھی جاؤں تو میرے لیے اس کے پاس بھی بہتری ہی ہے۔ سو ہم ان کافروں کو ان کے یہ سب کردار ضرور بتائیں گے اور ان کو سخت عذاب (کا مزہ) چکھائیں گے۔	And if, We make him savour (the taste) of Our Mercy after the distress, he is sure to say, ‘This should have happened to me anyway, and I do not think that Qiyamah will occur.And if (it happens that) I do get returned to my Rabb, there will be only good for me with Him too.’ So We shall certainly inform the unbelievers about all these deeds of theirs, and will make them savour (the taste) of a severe torment.
041:051	اور جب ہم انسان کو نعمت عطا کرتے ہیں تو اپنا منہ موڑ لیتا ہے اور اپنی کروٹ پھیر لیتا ہے اور جب اس کو تکلیف پہنچتی ہے تو لمبی چوڑی دعائیں کرنے لگتا ہے۔	And when We grant a blessing to man, he turns his face away and withdraws his side, and when some distress touches him, he starts making lengthy, prolonged supplications.
041:052	فرما دیجئے بھلا دیکھو! اگر یہ (قرآن) اللہ کی طرف سے ہو، پھر تم اس سے انکار کرو تو اس سے بڑھ کر کون گمراہ ہے جو پرلے درجے کی مخالفت میں ہو۔	Say, ‘Well then, look! If this (the Quran) is from Allah,yet you deny it, who could be more astray than the one who is in the extreme degree of opposition.’
041:053	ہم عنقریب ان کو اطرافِ عالم میں بھی اور خود ان کی ذات میں بھی اپنی نشانیاں دکھائیں گے یہاں تک کہ ان پر ظاہر ہوجائے کہ وہ (قرآن) حق ہے تو کیا آپ کے پروردگار کو یہ بات کافی نہیں کہ وہ ہر چیز پر گواہ ہیں۔	Soon We shall show them Our Signs in the universe, as well as, in their own selves until it becomes manifest to them that it (the Quran) is the Truth. So is this fact not sufficient in regard to your Rabb that He is a Witness over everything?
041:054	دیکھیں، بے شک یہ اپنے پروردگار کے روبرو ہونے سے شک میں ہیں۔ یاد رکھو! بے شک وہ ہر چیز کو احاطہ کیے ہوئے ہے۔	See, undoubtedly, they are in doubt about coming face to face with their Rabb. Remember! Without doubt,He is encompassing everything.
042:001	حم۔	HA-MEEM.
042:002	عسق	AIN-SEEN-QAF.
042:003	اللہ غالب (و) دانا اسی طرح آپ پر وحی بھیجتے ہیں جس طرح آپ سے پہلے لوگوں کی طرف وحی بھیجتے رہے ہیں۔	Allah, the Dominant, (and) Wise sends Revelation to you in the same manner as He has been sending Revelation to those before you.
042:004	جو کچھ آسمانوں میں اور جو کچھ زمین میں ہے سب اُسی کا ہے اور وہ عالی مرتبہ (اور) گرامی قدر ہے۔	Whatever is in the heavens and whatever is on the earth all belongs to Him and He is Exalted, (and) Most Honourable.
042:005	ہوسکتا ہے کہ آسمان اپنے اوپر سے پھٹ پڑیں اور فرشتے اپنے پروردگار کی تعریف کے ساتھ پاکی بیان کرتے رہتے ہیں اور زمین میں بسنے والوں کے لیئے معافی طلب کرتے ہیں۔ خوب جان لو! کہ بے شک اللہ ہی معاف کرنے والے، رحمت کرنے والے ہیں۔	It might well be that the heavens burst from above them, and the angels keep celebrating the Glory of their Rabb with Praise and seek forgiveness for the dwellers of the earth. Know well that, without doubt, it is Allah, Who is the Forgiving, the Merciful.
042:006	اور جن لوگوں نے اس (اللہ) کے سوا دوسرے کارساز بنا رکھے ہیں، اللہ ان کو دیکھ بھال رہے ہیں اور آپ کو ان پر داروغہ نہیں بنایا گیا۔	And the people who have taken others than Him (Allah) as managers of affairs, Allah is watching over them, and you have not been made a warden over them.
042:007	اور اسی طرح آپ پر (یہ) قرآن عربی (زبان میں) وحی فرمایا ہے تاکہ آپ (پہلے پہل) بڑے شہر (مکہ مکرمہ کے رہنے) والوں کو اور ان کے اردگرد والوں کو ڈرائیں اور قیامت کے دن سے ڈرائیں جس میں کوئی شک نہیں۔ ایک گروہ جنت میں داخل ہوگا اور ایک گروہ دوزخ میں۔	And thus We have revealed (this) the Quran (in the) Arabic (language) so that (in the first instance) you may warn the dwellers of the capital city (Makkah Mukarramah) and those around it, and warn them of the Day of Qiyamah, about which there is no doubt. One group will enter in Paradise and one (will enter) in Hell.
042:008	اور اگر اللہ چاہتے تو ان کو ایک ہی جماعت بنا دیتے ولیکن وہ جس کو چاہتے ہیں اپنی رحمت میں داخل فرما لیتے ہیں۔ اور ظالموں کا کوئی حامی اور مددگار نہیں۔	Had Allah willed, He could have made them a single group, but He enters whom ever He wills in His Mercy. And there is no friend and helper for the wrongdoers.
042:009	کیا انہوں نے اللہ کے سوا دوسرے کار ساز قرار دے رکھے ہیں۔ سو کار ساز تو اللہ ہی ہیں اور وہی مرُدوں کو زندہ کریں گے اور وہی ہر چیز پر قدرت رکھتے ہیں۔	Have they taken others besides Allah as managers of affairs? But, the Manager of affairs is only Allah, and He will revive the dead and only He has Power over everything.
042:010	اور تم جس بات میں کچھ اختلاف کرتے ہو تو اس کا فیصلہ اللہ ہی کے سپرد ہے۔ یہی اللہ میرا پروردگار ہے، میں اُسی پر بھروسہ رکھتا ہوں اور اُسی کی طرف رجوع کرتا ہوں۔	And the decision over the matter wherein you differ rests only with Allah. That Allah is my Rabb; in Him do I trust and to Him I turn repentant.
042:011	پیدا کرنے والا ہے آسمانوں اور زمین کا، اُس نے تمہارے لیئے تمہاری ہی جنس سے جوڑے بنائے ہیں اور چار پایوں کے بھی جوڑے (بنائے) اسی طرح تمہاری نسل چلاتا ہے۔ کوئی چیز اُس کی مثل نہیں اور وہ سنتا (اور) دیکھتا ہے۔	Creator of the heavens and the earth.He made for you mates from your own kind and also (made) the pairs of cattle. In this way He multiplies your breed. Nothing is like Him, and He is the Hearing, (and) the Seeing.
042:012	اُسی کے اختیار میں ہیں کنجیاں آسمانوں اور زمین کی جس کو چاہے زیادہ روزی عطا کرے اور (جس کو چاہے) کم کردے۔ بے شک وہ ہر چیز کا جاننے والا ہے۔	In His Control are the Keys of the heavens and the earth.He may enhance the sustenance for whomever He wills and may reduce (for whomever He wills). Without doubt, He is the Knower of everything.
042:013	اُس نے تمہارے لیئے وہی دین مقرر فرمایا ہے جس کا اُس نے نوح (علیہ السلام) کو حکم دیا تھا اور جس کو ہم نے آپ کے پاس وحی کے ذریعے بھیجا ہے او رجس کا ہم نے ابراہیم اور موسیٰ اور عیسیٰ (علیہم السلام) کو حکم فرمایا تھا کہ اسی دین کو قائم رکھنا اور اس میں پھوٹ نہ ڈالنا۔ جس بات کی طرف آپ مشرکین کو بلاتے ہیں وہ ان کو بڑی گراں گزرتی ہے، اللہ جس کو چاہتا ہے اپنی طرف کھینچ لیتا ہے اور جو اُس کی طرف رجوع کرے اُسے اپنی طرف راستہ دکھا دیتا ہے۔	He has ordained for you the same Deen that He had commanded to Nooh (Alaihi as-Salam), and that which We have sent to you through Revelation, and that which We had commanded to Ibraheem (Alaihi as-Salam)and Musa and Isa (Alaihim as-Salam)that,‘Keep this Deen established and do not cause division in it.’ The matter to which you call the polytheist weighs very heavily upon them. Allah draws towards Himself whom ever He wills, and shows the path towards Himself to the one who turns in repentance to Him.
042:014	اور یہ لوگ جو الگ الگ ہوئے ہین تو علم آچکنے کے بعد صرف آپس کی ضد سے (ہوئے ہیں) اور اگر آپ کے پروردگار کی طرف سے ایک وقت مقررہ تک بات نہ ٹھہر چکی ہوتی تو ان میں فیصلہ کردیا جاتا۔ اور بے شک جو لوگ ان کے بعد آپ کے وارث ہوئے وہ اس سے ایسے شک میں پڑے ہیں جس نے (ان کو) تر دد میں ڈال دیا ہے۔	And these people have separated (they have done so)only out of mutual stubbornness after the coming of knowledge.And had the matter not been set to a time determined by your Rabb, the Judgement would have been passed between them. Without doubt, the people who inherited the Book after them are in such doubt from it which has confounded (them).
042:015	سو اس لیے آپ اُسی (دین) کی طرف (لوگوں کو) بلاتے رہیے اور جس طرح آپ کو حکم ہوا ہے اس پر قائم رہیے۔ اور ان کی خواہشات پر نہ چلیے اور فرما دیجئے کہ اللہ نے جتنی کتابیں نازل فرمائی ہیں میں ان سب پر ایمان لاتا ہوں او رمجھے حکم ہوا ہے کہ میں تم میں انصاف کروں۔ اللہ ہی ہمارے اور تمہارے پروردگار ہیں۔ ہمارے اعمال ہمارے لیے اور تمہارے اعمال تمہارے لیے، ہماری اور تمہاری کوئی بحث نہیں۔ اللہ ہم سب کو جمع فرمائیں گے اور ان ہی کے پاس جانا ہے۔	So, keep inviting (people) to it (the Deen), and remain steadfast as you have been commanded, and do not follow their desires, and say, ‘I believe in all the Books which Allah has revealed and I have been commanded to dispense justice among you. Allah is our and your Rabb; for us are our deeds and for you are your deeds. There is no argument between us and you.Allah will gather us all, and to Him is the return.’
042:016	اور جو لوگ جھگڑاکرتے ہیں اللہ کی بات میں جب کہ یہ تسلیم کرلیا گیا ہے کہ ان کی دلیل ان کے پروردگار کے ہاں جھوٹی ہے اور ان پر (اللہ کا) غصہ ہے اور ان کے لیے بہت سخت عذاب ہے۔	And the people who argue regarding Allah, after it has been accepted -their argument is false in the sight of their Rabb, and on them is (Allah’s) wrath, and for them is a very severe torment.
042:017	اللہ وہ ہے جس نے حق کے ساتھ کتاب نازل فرمائی اور ترازو (انصاف کے لیے) اور آپ کو کیا خبر کہ شاید قیامت قریب ہو۔	Allah is He, Who sent down the Book with Truth and the Balance (for Justice). And what can you know,perhaps Qiyamah may be close by.
042:018	جو لوگ اس پر ایمان نہیں رکھتے وہ اس کے لیئے جلدی کررہے ہیں۔ اور جو ایمان رکھتے ہیں وہ اس سے ڈرتے ہیں اور وہ جانتے ہیں کہ وہ برحق ہے۔ یاد رکھو! کہ یقیناً جو لوگ قیامت میں جھگڑتے ہیں بڑی دور کی گمراہی میں (مبتلا) ہیں۔	The people who do not believe in it are hastening for it, and those who believe in it are afraid of it and know that it is the Truth. Remember, indeed the people who dispute about Qiyamah are (steeped) in far off misguidance.
042:019	اللہ اپنے بندوں پر مہربان ہیں، جس کو چاہتے ہیں رزق عطا کرتے ہیں اور وہ قوت والے، زبردست ہیں۔	Allah is Kind to His slaves.He grants sustenance to whomever He wills. And He is Mighty, Dominant.
042:020	جو شخص آخرت کی کھیتی کا طلب گار ہو ہم اس کے لیے اس کی کھیتی میں ترقی دیں گے او رجو شخص دنیا کی کھیتی چاہتا ہو اس کو ہم اس میں سے کچھ دے دیں گے اور اس کا آخرت میں کچھ حصہ نہ ہوگا۔	The person who desires the harvest of the Hereafter, We shall grant increase in his harvest for him. And the person who desires the harvest of the world We shall grant him some out of it, and he will have no share in the Hereafter.
042:021	کیا ان کے کچھ شریک ہیں جنہوں نے ان کے لیے ایسا دین مقرر کیا ہے جس کی اللہ نے اجازت نہیں دی؟ اور اگر ایک قول فیصل (یعنی قیامت کا وعدہ) نہ ہوتا تو ان کے درمیان فیصلہ کر دیا جاتا اور بے شک ظالموں کو دردناک عذاب ہوگا۔	Do they have some partners who have established for them a religion which has not been permitted by Allah? And had it not been for a Decisive Word (meaning, the Promise of Qiyamah), the Judgement would have been passed between them. And undoubtedly, the wrongdoers will suffer a painful torment.
042:022	آپ ان لوگوں کو دیکھیں گے کہ اپنے اعمال (کے وبال) سے ڈرتے ہوں گے اور وہ ان پر پڑ کر رہے گا۔ اور جو لوگ ایمان لائے او رنیک عمل کرتے رہے وہ بہشت کے باغوں میں ہوں گے۔ وہ جو چاہیں گے ان کے لیے ان کے پروردگار کے پاس (موجود) ہوگا۔ یہی بہت بڑا انعام ہے۔	You will see the wrongdoers fearing (the burden of) their deeds and it will certainly befall them. And the people who believed and kept performing righteous deeds will be in the gardens of Paradise; for them will be (present) with their Rabb,whatever they desire. This is a very great reward.
042:023	یہی ہے جس کی خوشخبری اللہ اپنے (ان) بندوں کو دے رہے ہیں جو ایمان لائے اور نیک کام کیے۔ آپ فرما دیجئے کہ میں تم سے اس پر کوئی صلہ نہیں چاہتا سوائے قرابت داری کی محبت کے۔ اور جو کوئی نیکی کرے گا ہم اس کے لیے اس کو اور بڑھا دیں گے بے شک اللہ بڑے بخشنے والے بڑے قدر دان ہیں۔	This is what Allah is giving the good news of to (those of) His slaves who believed and performed righteous deeds. Say, ‘I want no reward for this from you, except the love of kinship.’ And whoever does good, We will increase it further for him. Indeed, Allah is Very Forgiving, Greatly Appreciative.
